player_gamertag,player_xuid,match_number,match_id,date,duration,game_type,map,playlist,playlist_id,outcome,team_id,team_rank,kills,deaths,assists,kd,kda,accuracy,score,medal_count,match_csr_value,match_csr_tier_name,match_csr_sub_tier_name,match_mmr_value,current_csr_value,current_csr_tier_name,current_csr_sub_tier_name,current_csr_measurement_matches_remaining,current_csr_initial_measurement_matches,current_csr_tier_start,season_max_csr_value,season_max_csr_tier_name,season_max_csr_sub_tier_name,all_time_max_csr_value,all_time_max_csr_tier_name,all_time_max_csr_sub_tier_name,personal_score,rounds_won,rounds_lost,rounds_tied,suicides,betrayals,grenade_kills,headshot_kills,melee_kills,power_weapon_kills,shots_fired,shots_hit,damage_dealt,damage_taken,callout_assists,vehicle_destroys,driver_assists,hijacks,emp_assists,max_killing_spree,spawns,objectives_completed,average_life_duration,pvp_stats_kills,pvp_stats_deaths,pvp_stats_assists,pvp_stats_kda,bomb_stats_bomb_carriers_killed,bomb_stats_bomb_defusals,bomb_stats_bomb_defusers_killed,bomb_stats_bomb_detonations,bomb_stats_bomb_pick_ups,bomb_stats_bomb_plants,bomb_stats_bomb_returns,bomb_stats_kills_as_bomb_carrier,bomb_stats_time_as_bomb_carrier,capture_the_flag_stats_flag_capture_assists,capture_the_flag_stats_flag_captures,capture_the_flag_stats_flag_carriers_killed,capture_the_flag_stats_flag_grabs,capture_the_flag_stats_flag_returners_killed,capture_the_flag_stats_flag_returns,capture_the_flag_stats_flag_secures,capture_the_flag_stats_flag_steals,capture_the_flag_stats_kills_as_flag_carrier,capture_the_flag_stats_kills_as_flag_returner,capture_the_flag_stats_time_as_flag_carrier,elimination_stats_allies_revived,elimination_stats_elimination_assists,elimination_stats_eliminations,elimination_stats_enemy_revives_denied,elimination_stats_executions,elimination_stats_kills_as_last_player_standing,elimination_stats_last_players_standing_killed,elimination_stats_rounds_survived,elimination_stats_times_revived_by_ally,elimination_stats_lives_remaining,elimination_stats_elimination_order,oddball_stats_kills_as_skull_carrier,oddball_stats_longest_time_as_skull_carrier,oddball_stats_skull_carriers_killed,oddball_stats_skull_grabs,oddball_stats_time_as_skull_carrier,oddball_stats_skull_scoring_ticks,zones_stats_zone_captures,zones_stats_zone_defensive_kills,zones_stats_zone_offensive_kills,zones_stats_zone_secures,zones_stats_total_zone_occupation_time,zones_stats_zone_scoring_ticks,zones_stats_stronghold_captures,zones_stats_stronghold_defensive_kills,zones_stats_stronghold_offensive_kills,zones_stats_stronghold_secures,zones_stats_stronghold_occupation_time,zones_stats_stronghold_scoring_ticks,post_match_csr_value,post_match_csr_tier_name,post_match_csr_sub_tier_name,medal_Shot_Caller,medal_Double_Kill,medal_id_1024030246,medal_Perfect,medal_Killing_Spree,medal_Rifleman,medal_id_638246808,medal_id_152718958,medal_Guardian_Angel,medal_From_the_Grave,medal_Hail_Mary,medal_Spotter,medal_id_709346128,medal_id_3507884073,medal_Killjoy,medal_Reversal,medal_id_204144695,medal_id_454168309,medal_id_340198991,medal_id_1032565232,medal_Harpoon,medal_Whiplash,medal_Back_Smack,medal_Stick,medal_Boxer,medal_Wingman,medal_id_746397417,medal_No_Scope,medal_Last_Shot,medal_id_3002710045,medal_id_2387185397,medal_id_555570945,medal_Triple_Kill,medal_Snipe,medal_Sharpshooter,medal_id_601966503,medal_id_249491819,medal_id_22113181
l 0cty l,2533274818160056,1,cd882071-4629-4e22-8d90-39d90b3e3ffd,2025-03-24 18:08:26,0:01:50.358542,Assault:Neutral Bomb Ranked,Aquarius - Ranked,Ranked Arena,edfef3ac-9cbe-4fa2-b949-8f29deafd483,Unknown (4),1,2,2,3,0,0.67,-1.0,8181.0,0,2,1412,Diamond,SubTier.FIVE,1294.182780030493,1412,Diamond,SubTier.FIVE,0,5,1400,1474,Diamond,SubTier.SIX,1553,Onyx,SubTier.ONE,250,0,0,0,0,0,0,2,0,0,11,9,388,680,0,0,0,0,0,2,4,0,0:00:16.700000,2,3,0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1412,Diamond,SubTier.FIVE,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l 0cty l,2533274818160056,2,fe74835e-ce95-4aed-8655-9783c9256f4e,2025-03-24 16:47:38,0:08:24.520162,Ranked:Slayer,Origin - Ranked,Ranked Arena,edfef3ac-9cbe-4fa2-b949-8f29deafd483,Tie,1,2,15,9,5,1.67,7.66,7120.0,15,4,1420,Diamond,SubTier.FIVE,1387.184968353009,1412,Diamond,SubTier.FIVE,0,5,1400,1474,Diamond,SubTier.SIX,1553,Onyx,SubTier.ONE,1780,0,1,0,0,0,0,9,1,2,125,89,4245,3216,3,0,0,0,0,5,10,0,0:00:39.500000,15,9,5,7.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1412,Diamond,SubTier.FIVE,7,0,15,1,1,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l 0cty l,2533274818160056,3,0714fdc8-f1e5-4aa8-88ef-a508c2d2f089,2025-03-20 19:12:29,0:09:05.669089,Ranked:Strongholds,Recharge - Ranked,Ranked Arena,edfef3ac-9cbe-4fa2-b949-8f29deafd483,Win,1,1,19,14,6,1.36,7.0,6648.0,0,8,1412,Diamond,SubTier.FIVE,1390.2143158062938,1412,Diamond,SubTier.FIVE,0,5,1400,1474,Diamond,SubTier.SIX,1553,Onyx,SubTier.ONE,2450,1,0,0,0,0,2,14,2,0,185,123,5650,4353,5,0,0,0,0,7,15,0,0:00:25,19,14,6,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,2,0:01:03.700000,0,1420,Diamond,SubTier.FIVE,12,0,19,2,1,1,6,5,1,1,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l 0cty l,2533274818160056,4,b67950c2-213c-4864-9d32-97e7abcc7524,2025-03-20 16:12:15,0:02:28.728449,Assault:Neutral Bomb Ranked,Fortress - Ranked,Ranked Arena,edfef3ac-9cbe-4fa2-b949-8f29deafd483,Unknown (4),1,2,0,0,0,0,0.0,0.0,0,0,1427,Diamond,SubTier.FIVE,1348.058011534312,1412,Diamond,SubTier.FIVE,0,5,1400,1474,Diamond,SubTier.SIX,1553,Onyx,SubTier.ONE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0:00:00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1412,Diamond,SubTier.FIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l 0cty l,2533274818160056,5,02c112f3-0e86-41cd-98fa-189e595a0cb6,2025-03-19 03:36:37,0:10:49.463072,Ranked:Oddball,Streets - Ranked,Ranked Arena,edfef3ac-9cbe-4fa2-b949-8f29deafd483,Tie,1,2,17,15,9,1.13,5.0,6025.0,12,7,1435,Diamond,SubTier.FIVE,1451.5240029792728,1412,Diamond,SubTier.FIVE,0,5,1400,1474,Diamond,SubTier.SIX,1553,Onyx,SubTier.ONE,2300,0,2,0,0,0,0,11,3,0,239,144,6019,5750,7,0,0,0,0,6,17,0,0:00:27,17,15,9,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0:00:05,0,0,0:00:14,12,0,0,0,0,0,0,0,0,0,0,0,0,1427,Diamond,SubTier.FIVE,7,0,17,0,1,1,9,7,1,0,0,1,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zaidster7,2533274965035069,1,d189832b-4e09-4f25-9e7b-7f76be6aa16e,2025-03-23 17:17:07,0:11:31.080059,Ranked:King of the Hill,Solitude - Ranked,Ranked Arena,edfef3ac-9cbe-4fa2-b949-8f29deafd483,Tie,1,2,15,25,8,0.6,-7.33,5136.0,1,4,1561,Onyx,SubTier.ONE,1529.9765865824465,1551,Onyx,SubTier.ONE,0,5,1500,1571,Onyx,SubTier.ONE,1696,Onyx,SubTier.ONE,2275,0,1,0,0,0,2,12,0,0,220,113,4692,6462,0,0,0,0,0,2,25,0,0:00:16.200000,15,25,8,-7.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0:01:09.700000,64,1551,Onyx,SubTier.ONE,1,1,15,0,0,1,8,0,0,0,0,0,0,0,1,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zaidster7,2533274965035069,2,2d56f48c-9177-409f-b6c4-8f784a8e24f3,2025-03-23 17:06:03,0:08:45.813864,Assault:Neutral Bomb Ranked,Aquarius - Ranked,Ranked Arena,edfef3ac-9cbe-4fa2-b949-8f29deafd483,Win,1,1,13,15,8,0.87,0.66,5542.0,2,4,1554,Onyx,SubTier.ONE,1505.3365470055169,1551,Onyx,SubTier.ONE,0,5,1500,1571,Onyx,SubTier.ONE,1696,Onyx,SubTier.ONE,2150,1,0,0,0,0,2,7,3,0,175,97,3691,4306,0,0,0,0,0,4,16,0,0:00:21.700000,13,15,8,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1561,Onyx,SubTier.ONE,0,1,13,2,0,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zaidster7,2533274965035069,3,7c5c138d-f1eb-4466-8fcf-b5733c127652,2025-03-23 15:47:19,0:11:51.055225,Ranked:King of the Hill,Recharge - Ranked,Ranked Arena,edfef3ac-9cbe-4fa2-b949-8f29deafd483,Tie,1,2,18,26,6,0.69,-6.0,5862.0,1,7,1564,Onyx,SubTier.ONE,1588.5515085329257,1551,Onyx,SubTier.ONE,0,5,1500,1571,Onyx,SubTier.ONE,1696,Onyx,SubTier.ONE,2400,0,1,0,0,0,1,10,3,0,203,119,5373,7164,0,0,0,0,0,3,26,0,0:00:16.400000,18,26,6,-6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0:01:13.400000,65,1554,Onyx,SubTier.ONE,0,0,18,2,0,1,6,0,0,1,0,0,0,0,1,1,0,0,12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zaidster7,2533274965035069,4,79ec290a-f6eb-4eeb-af54-d18a9382db8d,2025-03-23 15:36:45,0:07:18.767602,Ranked:Slayer,Origin - Ranked,Ranked Arena,edfef3ac-9cbe-4fa2-b949-8f29deafd483,Win,0,1,15,10,6,1.5,7.0,6241.0,15,2,1557,Onyx,SubTier.ONE,1566.3423151453612,1551,Onyx,SubTier.ONE,0,5,1500,1571,Onyx,SubTier.ONE,1696,Onyx,SubTier.ONE,1800,1,0,0,0,0,0,11,1,1,149,93,4317,3520,0,0,0,0,0,4,11,0,0:00:29.400000,15,10,6,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1564,Onyx,SubTier.ONE,0,0,15,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
